Player,Team,Salary,Color,Player,Team
2019,,$0,0,,
Kings XI Punjab,2019,$0,0,,
Kolkata Knight Riders,2019,$0,0,,
Rajasthan Royals,2019,$0,0,,
Delhi Capitals,2019,$0,0,,
Sunrisers Hyderabad,2019,$0,0,,
Chennai Super Kings,2019,$0,0,,
Royal Challengers Bangalore,2019,$0,0,,
Mumbai Indians,2019,$0,0,,
AT Rayudu,Chennai Super Kings,"$343,750","343,750",AT Rayudu,Chennai Super Kings
DJ Bravo,Chennai Super Kings,"$1,000,000","1,000,000",DJ Bravo,Chennai Super Kings
DL Chahar,Chennai Super Kings,"$125,000","125,000",DL Chahar,Chennai Super Kings
DR Shorey,Chennai Super Kings,"$31,250","31,250",DR Shorey,Chennai Super Kings
F du Plessis,Chennai Super Kings,"$250,000","250,000",F du Plessis,Chennai Super Kings
Harbhajan Singh,Chennai Super Kings,"$312,500","312,500",Harbhajan Singh,Chennai Super Kings
Imran Tahir,Chennai Super Kings,"$156,250","156,250",Imran Tahir,Chennai Super Kings
KM Asif,Chennai Super Kings,"$62,500","62,500",KM Asif,Chennai Super Kings
KM Jadhav,Chennai Super Kings,"$1,218,750","1,218,750",KM Jadhav,Chennai Super Kings
KV Sharma,Chennai Super Kings,"$478,000","478,000",KV Sharma,Chennai Super Kings
L Ngidi,Chennai Super Kings,"$78,130","78,130",L Ngidi,Chennai Super Kings
M Vijay,Chennai Super Kings,"$312,500","312,500",M Vijay,Chennai Super Kings
MJ Santner,Chennai Super Kings,"$78,130","78,130",MJ Santner,Chennai Super Kings
MM Sharma,Chennai Super Kings,"$714,300","714,300",MM Sharma,Chennai Super Kings
Monu Kumar,Chennai Super Kings,"$31,250","31,250",Monu Kumar,Chennai Super Kings
MS Dhoni,Chennai Super Kings,"$2,343,750","2,343,750",MS Dhoni,Chennai Super Kings
RA Jadeja,Chennai Super Kings,"$1,093,750","1,093,750",RA Jadeja,Chennai Super Kings
SK Raina,Chennai Super Kings,"$1,718,750","1,718,750",SK Raina,Chennai Super Kings
SN Thakur,Chennai Super Kings,"$406,250","406,250",SN Thakur,Chennai Super Kings
SR Watson,Chennai Super Kings,"$625,000","625,000",SR Watson,Chennai Super Kings
SW Billings,Chennai Super Kings,"$156,250","156,250",SW Billings,Chennai Super Kings
A Mishra,Delhi Capitals,"$625,000","625,000",A Mishra,Delhi Capitals
